Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
AJ Hammons,0.26,0.08,0.07,0.15,0.2,0.11,0.24,0.05,0.26,0.22,0.08,0.0,0.6,0.27,0.31,0.27
Aaron Brooks,0.38,0.17,0.16,0.22,0.23,0.08,0.11,0.02,0.09,0.08,0.44,0.09,0.06,0.3,0.26,0.37
Aaron Gordon,0.39,0.11,0.12,0.3,0.26,0.14,0.21,0.06,0.25,0.22,0.25,0.08,0.17,0.2,0.16,0.42
Aaron Harrison,0.27,0.09,0.16,0.07,0.11,0.1,0.18,0.02,0.15,0.12,0.14,0.12,0.08,0.08,0.25,0.21
Aaron Holiday,0.36,0.16,0.15,0.21,0.21,0.1,0.12,0.01,0.13,0.1,0.4,0.11,0.08,0.22,0.19,0.37
Aaron Jackson,0.26,0.08,0.11,0.13,0.14,0.06,0.12,0.06,0.04,0.09,0.08,0.0,0.0,0.11,0.26,0.21
Abdel Nader,0.3,0.13,0.14,0.18,0.16,0.09,0.14,0.02,0.18,0.14,0.11,0.09,0.19,0.19,0.21,0.32
Adam Mokoka,0.24,0.14,0.14,0.11,0.12,0.04,0.08,0.06,0.05,0.09,0.11,0.12,0.0,0.08,0.33,0.26
Admiral Schofield,0.25,0.15,0.16,0.1,0.08,0.06,0.09,0.02,0.16,0.12,0.13,0.05,0.06,0.07,0.3,0.24
Adreian Payne,0.31,0.06,0.08,0.22,0.24,0.11,0.16,0.04,0.27,0.22,0.16,0.1,0.17,0.27,0.38,0.3
Al Horford,0.36,0.11,0.11,0.31,0.25,0.08,0.11,0.05,0.26,0.22,0.39,0.08,0.29,0.19,0.14,0.4
Al Jefferson,0.47,0.0,0.0,0.53,0.47,0.13,0.19,0.06,0.34,0.28,0.18,0.08,0.23,0.14,0.28,0.49
Al-Farouq Aminu,0.28,0.14,0.14,0.14,0.14,0.1,0.13,0.04,0.3,0.24,0.14,0.11,0.17,0.17,0.15,0.29
Alan Anderson,0.28,0.15,0.16,0.12,0.11,0.09,0.12,0.01,0.14,0.1,0.15,0.05,0.0,0.07,0.27,0.28
Alan Williams,0.37,0.0,0.0,0.41,0.37,0.2,0.32,0.13,0.44,0.42,0.13,0.14,0.35,0.24,0.4,0.43
Alec Burks,0.4,0.15,0.14,0.26,0.26,0.22,0.27,0.02,0.21,0.17,0.25,0.1,0.06,0.21,0.17,0.44
Alec Peters,0.33,0.23,0.26,0.1,0.07,0.07,0.09,0.04,0.19,0.16,0.15,0.02,0.06,0.07,0.12,0.33
Alen Smailagic,0.29,0.06,0.09,0.28,0.19,0.22,0.28,0.07,0.18,0.19,0.26,0.06,0.23,0.32,0.22,0.39
Alex Abrines,0.28,0.23,0.21,0.07,0.07,0.06,0.08,0.02,0.1,0.09,0.09,0.09,0.04,0.1,0.24,0.3
Alex Caruso,0.26,0.1,0.09,0.16,0.16,0.12,0.17,0.02,0.13,0.11,0.35,0.15,0.12,0.24,0.2,0.29
Alex Len,0.33,0.04,0.04,0.34,0.29,0.18,0.27,0.11,0.33,0.32,0.14,0.06,0.33,0.26,0.29,0.4
Alex Poythress,0.28,0.1,0.09,0.22,0.19,0.09,0.14,0.08,0.19,0.21,0.13,0.06,0.15,0.11,0.31,0.32
Alex Stepheson,0.38,0.0,0.0,0.28,0.38,0.11,0.33,0.26,0.18,0.38,0.06,0.03,0.5,0.0,0.37,0.28
Alexis Ajinca,0.34,0.0,0.01,0.37,0.34,0.11,0.13,0.08,0.34,0.31,0.08,0.08,0.31,0.24,0.34,0.35
Alfonzo McKinnie,0.28,0.11,0.11,0.21,0.16,0.06,0.11,0.07,0.23,0.22,0.09,0.07,0.1,0.16,0.29,0.3
Alize Johnson,0.26,0.05,0.05,0.15,0.19,0.13,0.21,0.1,0.38,0.37,0.14,0.05,0.25,0.13,0.23,0.23
Allen Crabbe,0.32,0.19,0.18,0.15,0.14,0.09,0.11,0.01,0.16,0.12,0.13,0.07,0.08,0.12,0.19,0.35
Allonzo Trier,0.36,0.11,0.11,0.27,0.25,0.24,0.3,0.02,0.16,0.13,0.25,0.06,0.08,0.32,0.19,0.44
Alonzo Gee,0.16,0.03,0.04,0.16,0.12,0.06,0.09,0.04,0.17,0.15,0.13,0.12,0.08,0.14,0.24,0.18
Amar'e Stoudemire,0.29,0.0,0.0,0.37,0.29,0.13,0.18,0.08,0.3,0.29,0.1,0.06,0.42,0.24,0.28,0.36
Amile Jefferson,0.21,0.0,0.0,0.24,0.21,0.17,0.3,0.11,0.29,0.32,0.12,0.07,0.31,0.09,0.24,0.27
Amir Coffey,0.34,0.1,0.12,0.23,0.22,0.07,0.14,0.02,0.12,0.1,0.26,0.1,0.08,0.18,0.28,0.33
Amir Johnson,0.24,0.03,0.03,0.28,0.2,0.09,0.13,0.09,0.26,0.26,0.25,0.1,0.29,0.22,0.31,0.29
Anderson Varejao,0.24,0.0,0.0,0.23,0.23,0.14,0.21,0.08,0.31,0.28,0.23,0.1,0.17,0.18,0.33,0.24
Andre Drummond,0.38,0.0,0.01,0.46,0.38,0.16,0.33,0.15,0.47,0.46,0.16,0.15,0.35,0.3,0.22,0.44
Andre Iguodala,0.2,0.08,0.09,0.16,0.12,0.07,0.09,0.03,0.19,0.16,0.38,0.11,0.19,0.16,0.14,0.24
Andre Ingram,0.29,0.17,0.15,0.09,0.14,0.08,0.08,0.02,0.11,0.1,0.26,0.16,0.29,0.21,0.09,0.28
Andre Miller,0.23,0.02,0.02,0.29,0.21,0.1,0.13,0.02,0.13,0.11,0.53,0.1,0.0,0.3,0.23,0.29
Andre Roberson,0.19,0.06,0.07,0.16,0.12,0.04,0.08,0.05,0.18,0.17,0.1,0.12,0.23,0.09,0.2,0.19
Andrea Bargnani,0.44,0.02,0.02,0.44,0.41,0.14,0.17,0.04,0.16,0.15,0.08,0.02,0.1,0.18,0.21,0.43
Andrew Bogut,0.18,0.0,0.0,0.24,0.18,0.02,0.06,0.09,0.4,0.35,0.29,0.07,0.5,0.27,0.34,0.2
Andrew Goudelock,0.4,0.05,0.18,0.36,0.22,0.13,0.16,0.02,0.02,0.03,0.23,0.38,0.25,0.58,0.18,0.41
Andrew Harrison,0.28,0.1,0.11,0.16,0.18,0.19,0.25,0.02,0.12,0.1,0.39,0.1,0.1,0.23,0.28,0.31
Andrew Nicholson,0.36,0.12,0.12,0.28,0.24,0.09,0.13,0.04,0.28,0.22,0.1,0.08,0.19,0.19,0.24,0.37
Andrew White,0.35,0.25,0.24,0.08,0.11,0.02,0.04,0.02,0.22,0.17,0.08,0.04,0.06,0.14,0.13,0.3
Andrew Wiggins,0.48,0.1,0.11,0.39,0.36,0.22,0.29,0.03,0.13,0.12,0.19,0.08,0.12,0.23,0.13,0.52
Anfernee Simons,0.38,0.14,0.16,0.22,0.21,0.1,0.13,0.02,0.13,0.1,0.19,0.05,0.04,0.18,0.21,0.37
Angel Delgado,0.33,0.0,0.0,0.15,0.33,0.13,0.27,0.13,0.2,0.27,0.0,0.2,0.0,0.0,0.3,0.18
Ante Zizic,0.31,0.0,0.0,0.4,0.31,0.17,0.24,0.1,0.29,0.29,0.13,0.04,0.23,0.21,0.25,0.41
Anthony Bennett,0.34,0.13,0.18,0.19,0.17,0.19,0.27,0.08,0.31,0.29,0.1,0.08,0.08,0.19,0.16,0.37
Anthony Brown,0.23,0.11,0.13,0.09,0.1,0.04,0.06,0.02,0.17,0.13,0.11,0.08,0.04,0.11,0.14,0.19
Anthony Davis,0.54,0.06,0.07,0.57,0.48,0.37,0.46,0.07,0.36,0.31,0.21,0.12,0.5,0.24,0.15,0.69
Anthony Morrow,0.36,0.21,0.21,0.16,0.15,0.07,0.08,0.01,0.06,0.06,0.08,0.08,0.06,0.06,0.14,0.36
Anthony Tolliver,0.25,0.21,0.19,0.07,0.06,0.08,0.11,0.03,0.19,0.16,0.13,0.06,0.12,0.12,0.18,0.29
Antonio Blakeney,0.47,0.13,0.13,0.33,0.35,0.14,0.2,0.01,0.17,0.12,0.15,0.04,0.04,0.16,0.12,0.45
Antonius Cleveland,0.2,0.05,0.03,0.11,0.17,0.07,0.13,0.03,0.15,0.13,0.05,0.15,0.38,0.2,0.41,0.18
Anzejs Pasecniks,0.27,0.0,0.01,0.32,0.26,0.16,0.26,0.1,0.22,0.25,0.13,0.06,0.19,0.22,0.39,0.33
Archie Goodwin,0.37,0.06,0.09,0.32,0.28,0.25,0.36,0.03,0.15,0.13,0.31,0.07,0.08,0.34,0.16,0.42
Arinze Onuaku,0.14,0.0,0.0,0.13,0.14,0.0,0.0,0.06,0.21,0.23,0.17,0.0,0.21,0.23,0.26,0.13
Aron Baynes,0.3,0.05,0.05,0.3,0.26,0.13,0.16,0.09,0.29,0.29,0.15,0.03,0.27,0.21,0.32,0.34
Arron Afflalo,0.3,0.11,0.1,0.21,0.2,0.09,0.11,0.01,0.14,0.1,0.16,0.03,0.02,0.13,0.14,0.32
Austin Rivers,0.34,0.16,0.16,0.2,0.18,0.1,0.14,0.01,0.11,0.08,0.25,0.09,0.06,0.18,0.19,0.36
Avery Bradley,0.38,0.16,0.15,0.26,0.24,0.07,0.08,0.02,0.12,0.11,0.18,0.11,0.04,0.2,0.17,0.38
Axel Toupane,0.23,0.12,0.13,0.09,0.1,0.07,0.1,0.02,0.11,0.09,0.12,0.07,0.17,0.06,0.29,0.22
BJ Johnson,0.37,0.14,0.12,0.2,0.26,0.16,0.18,0.04,0.21,0.18,0.07,0.12,0.0,0.26,0.11,0.36
Bam Adebayo,0.28,0.0,0.01,0.35,0.28,0.19,0.27,0.08,0.33,0.3,0.33,0.09,0.27,0.28,0.2,0.37
Ben Bentil,0.3,0.0,0.09,0.0,0.21,0.0,0.0,0.0,0.32,0.21,0.0,0.0,0.0,0.37,0.21,0.0
Ben McLemore,0.34,0.2,0.19,0.17,0.16,0.09,0.12,0.02,0.13,0.11,0.13,0.09,0.08,0.2,0.24,0.37
Ben Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.11,0.32,0.0,0.0,0.0,1.0,0.0
Ben Simmons,0.35,0.0,0.0,0.44,0.35,0.17,0.28,0.06,0.27,0.24,0.67,0.15,0.17,0.41,0.18,0.43
Beno Udrih,0.31,0.06,0.06,0.26,0.25,0.08,0.09,0.01,0.14,0.11,0.56,0.06,0.0,0.29,0.15,0.31
Billy Garrett,0.43,0.0,0.13,0.4,0.3,0.13,0.13,0.0,0.08,0.05,0.33,0.04,0.1,0.12,0.11,0.37
Bismack Biyombo,0.2,0.0,0.0,0.25,0.2,0.16,0.24,0.1,0.34,0.33,0.1,0.03,0.46,0.19,0.26,0.27
Blake Griffin,0.5,0.13,0.13,0.42,0.37,0.29,0.38,0.04,0.27,0.22,0.43,0.06,0.08,0.33,0.17,0.59
Boban Marjanovic,0.41,0.0,0.01,0.53,0.4,0.31,0.41,0.14,0.42,0.41,0.15,0.06,0.31,0.29,0.28,0.58
Bobby Brown,0.49,0.33,0.32,0.17,0.19,0.04,0.04,0.0,0.08,0.06,0.33,0.06,0.0,0.22,0.09,0.43
Bobby Portis,0.44,0.13,0.12,0.36,0.32,0.11,0.14,0.08,0.31,0.29,0.17,0.08,0.1,0.21,0.2,0.45
Bogdan Bogdanovic,0.41,0.21,0.19,0.23,0.21,0.11,0.13,0.02,0.15,0.11,0.36,0.11,0.06,0.22,0.17,0.43
Bojan Bogdanovic,0.39,0.19,0.17,0.25,0.22,0.18,0.21,0.02,0.16,0.12,0.16,0.06,0.02,0.23,0.13,0.47
Bol Bol,0.32,0.13,0.11,0.26,0.22,0.18,0.23,0.06,0.24,0.22,0.21,0.08,0.54,0.46,0.29,0.42
Bonzie Colson,0.4,0.14,0.21,0.19,0.18,0.17,0.18,0.08,0.35,0.31,0.1,0.15,0.06,0.13,0.08,0.37
Boris Diaw,0.27,0.05,0.06,0.25,0.21,0.07,0.08,0.04,0.16,0.14,0.37,0.05,0.08,0.27,0.15,0.28
Brad Wanamaker,0.28,0.09,0.08,0.21,0.19,0.18,0.19,0.01,0.14,0.11,0.4,0.13,0.04,0.22,0.22,0.34
Bradley Beal,0.52,0.21,0.19,0.38,0.33,0.23,0.29,0.02,0.14,0.12,0.37,0.1,0.08,0.28,0.14,0.62
Brandan Wright,0.28,0.0,0.0,0.38,0.28,0.11,0.18,0.07,0.2,0.21,0.1,0.08,0.44,0.1,0.21,0.36
Branden Dawson,0.17,0.0,0.0,0.14,0.17,0.08,0.08,0.06,0.09,0.14,0.0,0.0,0.31,0.0,0.14,0.15
Brandon Bass,0.26,0.0,0.0,0.33,0.26,0.21,0.24,0.08,0.21,0.21,0.14,0.08,0.27,0.14,0.19,0.36
Brandon Clarke,0.37,0.05,0.05,0.48,0.32,0.13,0.17,0.07,0.3,0.26,0.17,0.08,0.27,0.16,0.17,0.49
Brandon Goodwin,0.44,0.17,0.2,0.26,0.25,0.14,0.17,0.02,0.2,0.16,0.38,0.06,0.08,0.24,0.23,0.43
Brandon Ingram,0.4,0.1,0.1,0.34,0.31,0.21,0.28,0.02,0.2,0.16,0.29,0.07,0.15,0.29,0.18,0.46
Brandon Jennings,0.32,0.14,0.16,0.14,0.16,0.13,0.17,0.01,0.14,0.11,0.61,0.11,0.04,0.28,0.14,0.31
Brandon Knight,0.44,0.17,0.18,0.26,0.26,0.16,0.19,0.02,0.12,0.1,0.36,0.08,0.06,0.32,0.16,0.44
