Player,MP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Brooks,36.0,13.6,2.2,5.7,3.5,8.2,1.4,1.9,0.8,2.2,3.0,5.5,1.1,0.3,2.7,4.1,14.5
Aaron Gordon,36.0,13.9,1.4,4.5,4.8,9.3,2.6,3.7,2.0,6.1,8.1,3.1,1.0,0.8,1.8,2.5,16.5
Aaron Harrison,36.0,9.6,1.1,5.9,1.1,4.0,1.8,3.3,0.7,3.7,4.4,1.8,1.5,0.4,0.7,4.0,8.4
Aaron Holiday,36.0,13.1,2.0,5.5,3.3,7.6,1.8,2.2,0.4,3.1,3.5,5.0,1.3,0.4,2.0,3.0,14.6
Abdel Nader,36.0,10.8,1.7,5.1,2.8,5.7,1.7,2.6,0.6,4.3,5.1,1.4,1.1,0.9,1.7,3.4,12.8
Admiral Schofield,36.0,9.0,1.9,5.8,1.6,2.9,1.0,1.6,0.6,3.9,4.5,1.6,0.6,0.3,0.6,4.8,9.6
Adreian Payne,36.0,11.3,0.8,2.8,3.6,8.5,2.0,2.8,1.6,6.5,8.1,2.0,1.2,0.8,2.4,6.1,11.7
Al Horford,36.0,13.1,1.4,3.9,5.0,9.1,1.4,1.9,1.9,6.3,8.1,4.9,0.9,1.4,1.7,2.3,15.7
Al Jefferson,36.0,16.8,0.0,0.0,8.5,16.8,2.3,3.4,2.3,8.1,10.2,2.3,0.9,1.1,1.3,4.5,19.4
Al-Farouq Aminu,36.0,10.0,1.8,4.9,2.3,5.1,1.8,2.3,1.6,7.2,8.8,1.8,1.3,0.8,1.5,2.4,11.6
Alan Anderson,36.0,9.9,1.9,5.9,1.9,4.0,1.6,2.2,0.3,3.4,3.7,1.9,0.6,0.0,0.6,4.3,10.9
Alan Williams,36.0,13.3,0.0,0.0,6.6,13.3,3.6,5.8,4.7,10.5,15.2,1.7,1.7,1.7,2.2,6.4,17.2
Alec Burks,36.0,14.3,1.9,4.9,4.1,9.4,3.9,4.8,0.9,5.1,6.0,3.1,1.2,0.3,1.9,2.7,17.6
Alex Abrines,36.0,10.1,2.9,7.6,1.1,2.5,1.1,1.4,0.7,2.5,3.2,1.1,1.1,0.2,0.9,3.8,11.9
Alex Caruso,36.0,9.2,1.2,3.4,2.6,5.8,2.2,3.0,0.8,3.2,4.0,4.4,1.8,0.6,2.2,3.2,11.4
Alex Len,36.0,11.9,0.5,1.4,5.4,10.5,3.3,4.9,3.9,7.9,11.6,1.8,0.7,1.6,2.3,4.7,15.8
Alex Poythress,36.0,10.2,1.3,3.3,3.6,6.9,1.7,2.6,3.0,4.6,7.6,1.7,0.7,0.7,1.0,5.0,12.6
Alexis Ajinca,36.0,12.2,0.0,0.2,5.9,12.2,2.0,2.4,2.9,8.1,11.3,1.0,1.0,1.5,2.2,5.4,14.0
Alfonzo McKinnie,36.0,10.2,1.4,4.1,3.3,5.8,1.1,1.9,2.5,5.5,8.0,1.1,0.8,0.5,1.4,4.7,11.8
Alize Johnson,36.0,9.2,0.6,1.8,2.4,6.7,2.4,3.7,3.7,9.2,13.4,1.8,0.6,1.2,1.2,3.7,9.2
Allen Crabbe,36.0,11.7,2.4,6.5,2.4,5.2,1.6,1.9,0.4,3.8,4.2,1.6,0.8,0.4,1.1,3.0,14.0
Allonzo Trier,36.0,12.8,1.4,3.8,4.3,9.0,4.3,5.4,0.7,3.8,4.7,3.1,0.7,0.4,2.9,3.1,17.5
