,Name,Height (ft),Height (cm)
0,Brandon Goodwin,6.0,182.88
1,Trae Young,6.1,185.42
2,Skal Labissiere,6.10,208.28
3,Clint Capela,6.10,208.28
4,Damian Jones,6.11,210.82
5,Jeff Teague,6.3,190.5
6,Tyrone Wallace,6.5,195.58
7,Treveon Graham,6.5,195.58
8,DeAndre’ Bembry,6.5,195.58
9,Vince Carter,6.6,198.12
10,Charles Brown Jr.,6.6,198.12
11,Kevin Huerter,6.7,200.66
12,De’Andre Hunter,6.7,200.66
13,Cam Reddish,6.8,203.2
14,John Collins,6.9,205.74
15,Chandler Parsons,6.9,205.74
16,Bruno Fernando,6.9,205.74
17,Dewayne Dedmon,7.0,213.36
18,Chris Chiozza,5.11,180.34
19,Henry Ellenson,6.10,208.28
20,Nicolas Claxton,6.11,210.82
21,Jarrett Allen,6.11,210.82
22,DeAndre Jordan,6.11,210.82
23,Kyrie Irving,6.2,187.96
24,Jeremiah Martin,6.2,187.96
25,Tyler Johnson,6.3,190.5
26,Spencer Dinwiddie,6.5,195.58
27,Justin Anderson,6.5,195.58
28,Jamal Crawford,6.5,195.58
29,Iman Shumpert,6.5,195.58
30,Garrett Temple,6.5,195.58
31,Joe Harris,6.6,198.12
32,Caris LeVert,6.6,198.12
33,Timothe Luwawu-Cabarrot,6.7,200.66
34,Taurean Prince,6.7,200.66
35,Wilson Chandler,6.8,203.2
36,Lance Thomas,6.8,203.2
37,Rodions Kurucs,6.9,205.74
38,Dzanan Musa,6.9,205.74
39,Donta Hall,6.9,205.74
40,Tremont Waters,5.10,177.8
41,Carsen Edwards,5.11,180.34
42,Kemba Walker,6.0,182.88
43,Enes Kanter,6.10,208.28
44,Marcus Smart,6.3,190.5
45,Brad Wanamaker,6.3,190.5
46,Romeo Langford,6.4,193.04
47,Javonte Green,6.4,193.04
48,Semi Ojeleye,6.6,198.12
49,Jaylen Brown,6.6,198.12
50,Grant Williams,6.6,198.12
51,Gordon Hayward,6.7,200.66
52,Robert Williams III,6.8,203.2
53,Jayson Tatum,6.8,203.2
54,Daniel Theis,6.8,203.2
55,Vincent Poirier,7.0,213.36
56,Tacko Fall,7.5,226.06
57,Terry Rozier,6.1,185.42
58,Devonte’ Graham,6.1,185.42
59,Jalen McDaniels,6.10,208.28
60,Willy Hernangomez,6.11,210.82
61,Malik Monk,6.3,190.5
62,Joe Chealey,6.4,193.04
63,Cody Martin,6.5,195.58
64,Caleb Martin,6.5,195.58
65,Miles Bridges,6.6,198.12
66,Dwayne Bacon,6.6,198.12
67,P.J. Washington,6.7,200.66
68,Bismack Biyombo,6.8,203.2
69,Nicolas Batum,6.9,205.74
70,Cody Zeller,7.0,213.36
71,Cristiano Felicio,6.10,208.28
72,Daniel Gafford,6.10,208.28
73,Kris Dunn,6.3,190.5
74,Ryan Arcidiacono,6.3,190.5
75,Coby White,6.4,193.04
76,Denzel Valentine,6.4,193.04
77,Adam Mokoka,6.5,195.58
78,Max Strus,6.5,195.58
79,Zach LaVine,6.6,198.12
80,Chandler Hutchison,6.7,200.66
81,Shaquille Harrison,6.7,200.66
82,Tomas Satoransky,6.7,200.66
83,Otto Porter Jr.,6.8,203.2
84,Thaddeus Young,6.8,203.2
85,Wendell Carter Jr.,6.9,205.74
86,Lauri Markkanen,7.0,213.36
87,Luke Kornet,7.2,218.44
88,Darius Garland,6.1,185.42
89,Collin Sexton,6.1,185.42
90,Marques Bolden,6.10,208.28
91,Ante Zizic,6.10,208.28
92,Andre Drummond,6.10,208.28
93,Matt Mooney,6.2,187.96
94,Matthew Dellavedova,6.3,190.5
95,Malik Newman,6.3,190.5
96,Kevin Porter Jr.,6.4,193.04
97,J.P. Macura,6.4,193.04
98,Dante Exum,6.5,195.58
99,Larry Nance Jr.,6.7,200.66
100,Cedi Osman,6.7,200.66
101,Alfonzo McKinnie,6.7,200.66
102,Kevin Love,6.8,203.2
103,Jordan Bell,6.8,203.2
104,Tristan Thompson,6.9,205.74
105,Dean Wade,6.9,205.74
106,J.J. Barea,5.10,177.8
