,Name,Salary
0,Stephen Curry,"$45,780,966"
1,John Wall,"$44,310,840"
2,Russell Westbrook,"$44,211,146"
3,James Harden,"$43,848,000"
4,LeBron James,"$41,180,544"
5,Kevin Durant,"$40,918,900"
6,Giannis Antetokounmpo,"$39,344,970"
7,Paul George,"$39,344,970"
8,Damian Lillard,"$39,344,900"
9,Kawhi Leonard,"$39,344,900"
10,Klay Thompson,"$37,980,720"
11,Jimmy Butler,"$36,016,200"
12,Tobias Harris,"$36,000,000"
13,Khris Middleton,"$35,500,000"
14,Anthony Davis,"$35,361,360"
15,Rudy Gobert,"$35,344,828"
16,Kyrie Irving,"$34,916,200"
17,Bradley Beal,"$34,502,130"
18,Kristaps Porzingis,"$31,650,600"
19,Devin Booker,"$31,610,000"
20,Karl-Anthony Towns,"$31,610,000"
21,Jamal Murray,"$31,590,000"
22,Ben Simmons,"$31,590,000"
23,Joel Embiid,"$31,579,390"
24,Andrew Wiggins,"$31,579,390"
25,Pascal Siakam,"$31,320,000"
26,Kevin Love,"$31,300,000"
27,CJ McCollum,"$30,864,198"
28,Chris Paul,"$30,800,000"
29,Nikola Jokic,"$30,510,423"
30,Jrue Holiday,"$30,133,333"
31,D'Angelo Russell,"$30,013,500"
32,Gordon Hayward,"$29,900,000"
33,Blake Griffin,"$32,405,817"
34,Brandon Ingram,"$29,467,800"
35,De'Aaron Fox,"$28,103,550"
36,Bam Adebayo,"$28,103,550"
37,Donovan Mitchell,"$28,103,550"
38,Jayson Tatum,"$28,103,550"
39,Al Horford,"$27,000,000"
40,Kyle Lowry,"$26,984,128"
41,Kemba Walker,"$34,967,442"
42,DeMar DeRozan,"$26,000,000"
43,Jaylen Brown,"$24,830,357"
44,Draymond Green,"$24,026,712"
45,Nikola Vucevic,"$24,000,000"
46,John Collins,"$23,000,000"
47,Buddy Hield,"$22,477,273"
48,Malcolm Brogdon,"$21,700,000"
49,Tim Hardaway,"$21,306,816"
50,Mike Conley,"$21,000,000"
51,Gary Harris,"$20,482,143"
52,Danilo Gallinari,"$20,475,000"
53,Harrison Barnes,"$20,284,091"
54,Jarrett Allen,"$20,000,000"
55,Jerami Grant,"$20,000,000"
56,Julius Randle,"$19,800,000"
57,Fred VanVleet,"$19,675,926"
58,Zach LaVine,"$19,500,000"
59,Goran Dragic,"$20,168,742"
60,Bojan Bogdanovic,"$18,700,000"
61,Lonzo Ball,"$18,604,651"
62,Domantas Sabonis,"$18,562,500"
63,Eric Gordon,"$18,218,818"
64,Evan Fournier,"$18,139,535"
65,Eric Bledsoe,"$18,125,000"
66,Myles Turner,"$18,000,000"
67,Bogdan Bogdanovic,"$18,000,000"
68,Terry Rozier,"$17,905,263"
69,Ricky Rubio,"$17,809,524"
70,Caris LeVert,"$17,500,000"
71,Jonathan Isaac,"$17,400,000"
72,Joe Harris,"$17,357,143"
73,Spencer Dinwiddie,"$17,142,857"
74,Clint Capela,"$17,103,448"
75,Steven Adams,"$17,073,171"
76,Markelle Fultz,"$16,500,000"
77,Aaron Gordon,"$16,409,091"
78,OG Anunoby,"$16,071,429"
