,Player,Tm,Pos,G_x,MP_x,PER,TS%,3PAr,TRB%,USG%,TOV%,ORB%,G_y,MP_y,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,OKC,C,63,1680,20.5,0.604,0.006,19.2,17.3,14.2,14.0,63,1680,478,1,3,282,475,117,201,207,376,583,146,51,67,94,122,684
1,Bam Adebayo,MIA,PF,72,2417,20.3,0.598,0.018000000000000002,17.0,21.2,17.6,8.5,72,2417,790,2,14,438,776,264,382,176,559,735,368,82,93,204,182,1146
2,LaMarcus Aldridge,SAS,C,53,1754,19.7,0.5710000000000001,0.198,12.0,23.4,7.8,6.3,53,1754,793,61,157,330,636,158,191,103,289,392,129,36,87,74,128,1001
3,Kyle Alexander,MIA,PF,2,13,4.7,0.5,0.0,12.9,10.2,33.3,17.9,2,13,2,0,0,1,2,0,0,2,1,3,0,0,0,1,1,2
4,Nickeil Alexander-Walker,NOP,SG,47,591,8.9,0.473,0.5,7.5,23.3,16.1,1.6,47,591,266,46,133,52,133,25,37,9,75,84,89,17,8,54,57,267
5,Grayson Allen,MEM,SG,38,718,12.0,0.609,0.562,6.2,17.6,10.9,1.2,38,718,251,57,141,60,110,39,45,8,77,85,52,10,2,33,53,330
6,Jarrett Allen,BRK,C,70,1852,20.7,0.664,0.013000000000000001,18.7,14.9,11.7,12.3,70,1852,465,0,6,302,459,171,270,216,455,671,110,40,92,77,162,775
7,Kadeem Allen,NYK,SG,10,117,14.0,0.512,0.364,4.1,20.6,14.1,1.8,10,117,44,5,16,14,28,7,11,2,7,9,21,5,2,8,7,50
8,Al-Farouq Aminu,ORL,PF,18,380,7.6,0.395,0.419,12.3,13.2,14.7,6.6,18,380,86,9,36,16,50,19,29,24,63,87,21,18,8,17,27,78
9,Justin Anderson,BRK,SF,10,107,3.2,0.35200000000000004,0.763,10.2,17.1,9.1,1.0,10,107,38,6,29,4,9,2,4,1,20,21,8,0,6,4,13,28
10,Kyle Anderson,MEM,PF,67,1330,12.5,0.534,0.257,11.3,13.5,15.3,4.7,67,1330,331,24,85,133,246,52,78,58,227,285,162,54,37,66,111,390
11,Ryan Anderson,HOU,C,2,14,9.4,0.35700000000000004,0.7140000000000001,26.2,23.7,12.5,0.0,2,14,7,1,5,1,2,0,0,0,7,7,2,1,0,1,1,5
12,Giannis Antetokounmpo,MIL,PF,63,1917,31.9,0.613,0.237,22.1,37.5,13.2,7.7,63,1917,1238,89,293,596,945,398,629,140,716,856,354,61,66,230,195,1857
13,Kostas Antetokounmpo,LAL,PF,5,20,16.3,0.902,0.0,8.2,10.3,20.5,11.1,5,20,3,0,0,3,3,1,2,2,1,3,2,0,0,1,2,7
14,Thanasis Antetokounmpo,MIL,SF,20,129,12.2,0.496,0.20800000000000002,9.2,21.6,17.8,9.8,20,129,48,0,10,24,38,7,17,12,12,24,15,7,2,12,18,55
15,Carmelo Anthony,POR,PF,58,1902,12.4,0.525,0.289,10.1,21.2,10.5,4.0,58,1902,782,87,226,249,556,136,161,71,297,368,85,49,27,100,171,895
16,OG Anunoby,TOR,SF,69,2066,13.2,0.6,0.40299999999999997,9.3,14.3,11.5,4.2,69,2066,566,89,228,197,338,72,102,80,284,364,108,96,45,79,167,733
17,Ryan Arcidiacono,CHI,PG,58,930,9.0,0.551,0.627,6.5,12.5,13.5,2.3,58,930,220,54,138,36,82,27,38,20,90,110,96,27,3,37,96,261
18,Trevor Ariza,TOT,SF,53,1493,11.0,0.593,0.639,9.0,11.8,13.6,2.5,53,1493,324,77,207,65,117,62,74,34,212,246,91,69,15,56,111,423
19,Trevor Ariza,TOT,SF,53,1493,11.0,0.593,0.639,9.0,11.8,13.6,2.5,32,791,165,43,122,21,43,21,27,21,125,146,50,35,7,28,63,192
20,Trevor Ariza,TOT,SF,53,1493,11.0,0.593,0.639,9.0,11.8,13.6,2.5,21,702,159,34,85,44,74,41,47,13,87,100,41,34,8,28,48,231
21,Trevor Ariza,TOT,SF,32,791,9.4,0.5429999999999999,0.7390000000000001,10.4,11.2,13.7,2.9,53,1493,324,77,207,65,117,62,74,34,212,246,91,69,15,56,111,423
22,Trevor Ariza,TOT,SF,32,791,9.4,0.5429999999999999,0.7390000000000001,10.4,11.2,13.7,2.9,32,791,165,43,122,21,43,21,27,21,125,146,50,35,7,28,63,192
23,Trevor Ariza,TOT,SF,32,791,9.4,0.5429999999999999,0.7390000000000001,10.4,11.2,13.7,2.9,21,702,159,34,85,44,74,41,47,13,87,100,41,34,8,28,48,231
24,Trevor Ariza,TOT,SF,21,702,12.8,0.643,0.535,7.4,12.5,13.5,2.0,53,1493,324,77,207,65,117,62,74,34,212,246,91,69,15,56,111,423
25,Trevor Ariza,TOT,SF,21,702,12.8,0.643,0.535,7.4,12.5,13.5,2.0,32,791,165,43,122,21,43,21,27,21,125,146,50,35,7,28,63,192
26,Trevor Ariza,TOT,SF,21,702,12.8,0.643,0.535,7.4,12.5,13.5,2.0,21,702,159,34,85,44,74,41,47,13,87,100,41,34,8,28,48,231
27,D.J. Augustin,ORL,PG,57,1420,14.0,0.5539999999999999,0.436,4.6,19.1,13.7,1.6,57,1420,461,70,201,114,260,161,181,22,100,122,262,34,1,86,72,599
28,Deandre Ayton,PHO,C,38,1236,20.0,0.568,0.023,19.6,23.7,11.6,13.0,38,1236,568,3,13,307,555,67,89,147,289,436,72,26,58,80,117,690
29,Dwayne Bacon,CHO,SG,39,687,6.1,0.419,0.275,7.9,19.5,12.2,2.3,39,687,244,19,67,66,177,35,53,15,85,100,52,23,2,37,52,224
30,Marvin Bagley III,SAC,PF,13,334,15.6,0.512,0.132,16.3,25.8,9.1,9.5,13,334,167,4,22,74,145,25,31,29,68,97,10,6,12,18,43,185
31,Lonzo Ball,NOP,PG,63,2025,13.1,0.517,0.575,10.0,18.5,21.1,3.7,63,2025,687,148,395,129,292,43,76,71,312,383,438,88,38,193,128,745
32,Mo Bamba,ORL,C,62,878,17.5,0.542,0.374,18.5,17.1,12.1,11.9,62,878,286,37,107,95,179,31,46,100,202,302,42,23,86,42,116,332
33,J.J. Barea,DAL,PG,29,450,14.6,0.512,0.41100000000000003,6.2,24.2,14.9,2.4,29,450,207,32,85,53,122,20,22,10,43,53,112,5,2,38,27,222
34,Harrison Barnes,SAC,PF,72,2482,13.3,0.574,0.33799999999999997,8.1,17.4,8.8,3.4,72,2482,793,102,268,263,525,214,267,77,278,355,159,43,12,88,93,1046
35,RJ Barrett,NYK,SG,56,1704,10.7,0.479,0.271,8.7,24.0,12.9,3.0,56,1704,727,63,197,229,530,156,254,50,229,279,143,55,17,124,122,803
36,Will Barton,DEN,SF,58,1916,15.6,0.5489999999999999,0.39,10.7,20.1,9.9,4.5,58,1916,738,108,288,224,450,102,133,76,289,365,212,61,29,88,121,874
