,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,OKC,C,0.9326599326599326,0.7494646680942183,0.5470352206865805,0.6153846153846154,0.0,0.5425045703839123,0.233206106870229,0.5121765601217657,0.5916824196597353,0.7368421052631576,0.27,0.0,0.0,0.6,0.52,0.22,0.34,0.88,0.39,0.56,0.09,0.43,0.33,0.3,0.31,0.32
1,Bam Adebayo,MIA,PF,0.4074074074074074,0.6031406138472518,0.5376727596968346,0.5769230769230769,0.02564102564102564,0.5891224862888484,0.3019083969465649,0.4223744292237444,0.6049149338374291,0.6315789473684211,0.29,0.0,0.03,0.56,0.53,0.36,0.43,0.55,0.62,0.6,0.35,0.38,0.36,0.47,0.35,0.35
2,LaMarcus Aldridge,SAS,C,0.8518518518518519,0.851891506067095,0.7115470352206866,0.4230769230769233,0.08974358974358974,0.4821755027422304,0.6293893129770992,0.5669710806697108,0.6427221172022685,0.7368421052631576,0.74,0.06,0.1,0.9,0.94,0.43,0.43,0.55,0.46,0.48,0.15,0.19,0.39,0.28,0.2,0.63
3,Jarrett Allen,BRK,C,0.40404040404040403,0.5574589578872233,0.5769059295586269,0.730769230769231,0.05128205128205128,0.596892138939671,0.23091603053435117,0.471841704718417,0.5085066162570888,0.7368421052631576,0.25,0.0,0.03,0.59,0.46,0.34,0.4,0.69,0.62,0.66,0.11,0.19,0.58,0.3,0.37,0.36
4,Al-Farouq Aminu,ORL,PF,0.7037037037037037,0.7077087794432547,0.2755238519839501,0.3076923076923078,0.6282051282051282,0.4451553930530165,0.20725190839694657,0.2656012176560122,0.4858223062381853,0.5789473684210523,0.28,0.36,0.43,0.15,0.21,0.17,0.17,0.27,0.55,0.46,0.11,0.48,0.22,0.23,0.2,0.22
5,Justin Anderson,BRK,SF,0.4175084175084175,0.15952890792291216,0.2875613018279091,0.26923076923076933,0.6282051282051282,0.3254113345521024,0.34312977099236636,0.17960426179604266,0.14177693761814744,0.4210526315789476,0.43,0.32,0.52,0.27,0.28,0.25,0.27,0.27,0.36,0.33,0.12,0.38,0.22,0.26,0.37,0.33
6,Kyle Anderson,MEM,PF,0.7811447811447811,0.42362598144182717,0.33259028087382975,0.3846153846153848,0.21794871794871795,0.35237659963436935,0.13854961832061066,0.2458143074581431,0.4914933837429112,0.6315789473684211,0.16,0.08,0.12,0.32,0.32,0.15,0.17,0.2,0.44,0.35,0.31,0.71,0.31,0.26,0.24,0.16
7,Ryan Anderson,HOU,C,0.43434343434343436,0.6466809421841541,0.3285777975925101,0.3846153846153848,0.7564102564102564,0.3016453382084096,0.3274809160305343,0.3888888888888889,0.21928166351606806,0.6315789473684211,0.48,0.56,0.63,0.21,0.26,0.24,0.22,0.35,0.28,0.3,0.06,0.1,0.11,0.16,0.18,0.41
8,Giannis Antetokounmpo,MIL,PF,0.9023569023569024,0.916131334760885,0.9255461435577352,0.5769230769230769,0.1923076923076923,0.5941499085923219,0.7740458015267176,0.6978691019786911,0.8223062381852552,0.7368421052631576,0.74,0.14,0.23,0.95,0.85,0.66,0.78,0.35,0.71,0.6,0.49,0.52,0.44,0.65,0.37,0.78
9,Carmelo Anthony,POR,PF,0.6397306397306397,0.8847251962883653,0.43869817209094963,0.26923076923076933,0.41025641025641024,0.31124314442413165,0.616412213740458,0.32572298325722987,0.3686200378071834,0.5789473684210523,0.76,0.38,0.48,0.55,0.67,0.35,0.36,0.2,0.41,0.33,0.2,0.29,0.14,0.33,0.29,0.57
