,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,OKC,C,0.933993399339934,0.7509755232351897,0.5470352206865805,0.6296296296296297,0.0,0.5519247985675918,0.233206106870229,0.5121765601217657,0.5916824196597353,0.27,0.0,0.0,0.6,0.52,0.22,0.34,0.88,0.39,0.56,0.09,0.43,0.33,0.3,0.31,0.32
1,Bam Adebayo,MIA,PF,0.41914191419141916,0.6055338772614403,0.5376727596968346,0.5925925925925926,0.02564102564102564,0.5975828111011638,0.3019083969465649,0.4223744292237444,0.6049149338374291,0.29,0.0,0.03,0.56,0.53,0.36,0.43,0.55,0.62,0.6,0.35,0.38,0.36,0.47,0.35,0.35
2,LaMarcus Aldridge,SAS,C,0.8547854785478548,0.8527846754168146,0.7115470352206866,0.4444444444444447,0.08974358974358974,0.4928379588182632,0.6293893129770992,0.5669710806697108,0.6427221172022685,0.74,0.06,0.1,0.9,0.94,0.43,0.43,0.55,0.46,0.48,0.15,0.19,0.39,0.28,0.2,0.63
3,Jarrett Allen,BRK,C,0.4158415841584158,0.5601277048598793,0.5769059295586269,0.7407407407407409,0.05128205128205128,0.6051924798567592,0.23091603053435117,0.471841704718417,0.5085066162570888,0.25,0.0,0.03,0.59,0.46,0.34,0.4,0.69,0.62,0.66,0.11,0.19,0.58,0.3,0.37,0.36
4,Al-Farouq Aminu,ORL,PF,0.7095709570957096,0.7094714437743881,0.2755238519839501,0.3333333333333335,0.6282051282051282,0.4565801253357207,0.20725190839694657,0.2656012176560122,0.4858223062381853,0.28,0.36,0.43,0.15,0.21,0.17,0.17,0.27,0.55,0.46,0.11,0.48,0.22,0.23,0.2,0.22
5,Justin Anderson,BRK,SF,0.429042904290429,0.164597374955658,0.2875613018279091,0.2962962962962964,0.6282051282051282,0.3393017009847807,0.34312977099236636,0.17960426179604266,0.14177693761814744,0.43,0.32,0.52,0.27,0.28,0.25,0.27,0.27,0.36,0.33,0.12,0.38,0.22,0.26,0.37,0.33
6,Kyle Anderson,MEM,PF,0.7854785478547854,0.4271018091521816,0.33259028087382975,0.4074074074074076,0.21794871794871795,0.3657117278424351,0.13854961832061066,0.2458143074581431,0.4914933837429112,0.16,0.08,0.12,0.32,0.32,0.15,0.17,0.2,0.44,0.35,0.31,0.71,0.31,0.26,0.24,0.16
7,Ryan Anderson,HOU,C,0.44554455445544555,0.6488116353316778,0.3285777975925101,0.4074074074074076,0.7564102564102564,0.3160250671441361,0.3274809160305343,0.3888888888888889,0.21928166351606806,0.48,0.56,0.63,0.21,0.26,0.24,0.22,0.35,0.28,0.3,0.06,0.1,0.11,0.16,0.18,0.41
8,Giannis Antetokounmpo,MIL,PF,0.9042904290429042,0.9166371053565093,0.9255461435577352,0.5925925925925926,0.1923076923076923,0.6025067144136079,0.7740458015267176,0.6978691019786911,0.8223062381852552,0.74,0.14,0.23,0.95,0.85,0.66,0.78,0.35,0.71,0.6,0.49,0.52,0.44,0.65,0.37,0.78
9,Carmelo Anthony,POR,PF,0.6468646864686468,0.8854203618304362,0.43869817209094963,0.2962962962962964,0.41025641025641024,0.3254252461951656,0.616412213740458,0.32572298325722987,0.3686200378071834,0.76,0.38,0.48,0.55,0.67,0.35,0.36,0.2,0.41,0.33,0.2,0.29,0.14,0.33,0.29,0.57
10,OG Anunoby,TOR,SF,0.37623762376237624,0.5267825470024831,0.22559072670530542,0.5185185185185185,0.6282051282051282,0.22247090420769913,0.16603053435114504,0.25722983257229837,0.45746691871455575,0.26,0.34,0.4,0.22,0.21,0.09,0.11,0.24,0.26,0.23,0.08,0.52,0.17,0.21,0.35,0.24
11,Ryan Arcidiacono,CHI,PG,0.22112211221122113,0.3944661227385598,0.18323673651359784,0.48148148148148134,0.7564102564102564,0.13070725156669652,0.06832061068702287,0.2861491628614916,0.15689981096408318,0.14,0.34,0.38,0.07,0.09,0.11,0.11,0.08,0.19,0.13,0.4,0.38,0.0,0.19,0.33,0.14
12,Trevor Ariza,POR,SF,0.8382838283828383,0.8893224547711953,0.2741863575568435,0.4074074074074076,0.8333333333333334,0.22963294538943593,0.1904580152671756,0.3188736681887367,0.4026465028355387,0.3,0.48,0.57,0.1,0.12,0.14,0.13,0.1,0.3,0.23,0.19,0.67,0.08,0.16,0.14,0.25
13,DJ Augustin,ORL,PG,0.8481848184818482,0.5196878325647392,0.3522068658047258,0.5185185185185185,0.6282051282051282,0.06803939122649956,0.3290076335877863,0.3493150684931507,0.19092627599243855,0.36,0.44,0.48,0.19,0.25,0.34,0.33,0.06,0.1,0.07,0.56,0.29,0.0,0.4,0.12,0.36
14,Deandre Ayton,PHO,C,0.0429042904290429,0.8119900673997872,0.6419973250111457,0.5555555555555555,0.01282051282051282,0.707699194270367,0.4736641221374046,0.40258751902587525,0.33459357277882795,0.6,0.0,0.02,0.94,0.85,0.22,0.24,0.73,0.67,0.7,0.14,0.29,0.36,0.4,0.39,0.54
15,Dwayne Bacon,CHO,SG,0.12871287128712872,0.2664065271372827,0.08203299152920196,0.11111111111111102,0.358974358974359,0.21978513876454792,0.25572519083969464,0.13470319634703198,0.10396975425330814,0.38,0.22,0.3,0.31,0.42,0.15,0.14,0.06,0.31,0.21,0.15,0.29,0.06,0.21,0.29,0.24
16,Lonzo Ball,NOP,PG,0.21782178217821782,0.8439162823696347,0.2929112795363353,0.14814814814814808,0.6923076923076923,0.3102059086839749,0.3061068702290076,0.15525114155251143,0.4102079395085066,0.39,0.42,0.56,0.18,0.23,0.05,0.07,0.22,0.39,0.32,0.69,0.67,0.19,0.58,0.22,0.24
17,Mo Bamba,ORL,C,0.0429042904290429,0.23412557644554804,0.46589389210878285,0.37037037037037057,0.4358974358974359,0.64816472694718,0.2954198473282442,0.20395738203957386,0.31568998109640833,0.39,0.24,0.33,0.4,0.37,0.12,0.18,0.67,0.64,0.66,0.1,0.19,0.92,0.33,0.67,0.3
