;epsilon;min_size;score;nb_clusters;var_portion
781;0.5500000000000002;2.0;0.2571359919369887;3.0;0.8500000000000002
113;0.27;3.0;0.24185894522480766;3.0;0.6
115;0.28;3.0;0.24185894522480766;3.0;0.6
111;0.26000000000000006;3.0;0.24185894522480766;3.0;0.6
104;0.23000000000000004;3.0;0.2329935314318412;3.0;0.6
106;0.24000000000000005;3.0;0.2329935314318412;3.0;0.6
109;0.25000000000000006;3.0;0.2329935314318412;3.0;0.6
251;0.38000000000000006;2.0;0.2303338592962876;3.0;0.65
383;0.38000000000000006;2.0;0.2303338592962876;3.0;0.7000000000000001
97;0.2;6.0;0.22157340430594127;3.0;0.6
94;0.19;6.0;0.2190537489589302;3.0;0.6
89;0.18000000000000005;5.0;0.21763323253571537;3.0;0.6
514;0.37000000000000005;5.0;0.20636846877853204;3.0;0.7500000000000001
653;0.37000000000000005;5.0;0.20636846877853204;3.0;0.8000000000000002
90;0.18000000000000005;6.0;0.20500175227470635;3.0;0.6
83;0.17000000000000004;5.0;0.20360743783551719;4.0;0.6
82;0.17000000000000004;4.0;0.20088007217338003;4.0;0.6
511;0.36000000000000004;5.0;0.2008508063299556;3.0;0.7500000000000001
650;0.36000000000000004;5.0;0.2008508063299556;3.0;0.8000000000000002
102;0.22000000000000003;6.0;0.19639868611239644;3.0;0.6
92;0.19;3.0;0.19563720870659482;4.0;0.6
380;0.35000000000000003;2.0;0.1942652339643196;5.0;0.7000000000000001
248;0.35000000000000003;2.0;0.1942652339643196;5.0;0.65
93;0.19;4.0;0.19353605114113698;3.0;0.6
107;0.24000000000000005;7.0;0.1926057590038523;3.0;0.6
249;0.36000000000000004;2.0;0.19235440641836496;5.0;0.65
381;0.36000000000000004;2.0;0.19235440641836496;5.0;0.7000000000000001
96;0.2;3.0;0.19138712963614246;3.0;0.6
99;0.21000000000000002;3.0;0.19138712963614246;3.0;0.6
87;0.18000000000000005;3.0;0.18988913437450355;4.0;0.6
250;0.37000000000000005;2.0;0.1875934708156978;4.0;0.65
382;0.37000000000000005;2.0;0.1875934708156978;4.0;0.7000000000000001
88;0.18000000000000005;4.0;0.18496593523827312;3.0;0.6
359;0.27;5.0;0.17833379913510777;3.0;0.7000000000000001
227;0.27;5.0;0.17833379913510777;3.0;0.65
377;0.33;5.0;0.17520400633847952;3.0;0.7000000000000001
245;0.33;5.0;0.17520400633847952;3.0;0.65
374;0.32000000000000006;5.0;0.17371542912379173;3.0;0.7000000000000001
242;0.32000000000000006;5.0;0.17371542912379173;3.0;0.65
368;0.30000000000000004;4.0;0.17348449209608574;3.0;0.7000000000000001
236;0.30000000000000004;4.0;0.17348449209608574;3.0;0.65
512;0.36000000000000004;6.0;0.17244547611020705;3.0;0.7500000000000001
651;0.36000000000000004;6.0;0.17244547611020705;3.0;0.8000000000000002
637;0.33;3.0;0.1721056855235594;4.0;0.8000000000000002
498;0.33;3.0;0.1721056855235594;4.0;0.7500000000000001
371;0.31000000000000005;4.0;0.1719340294297854;3.0;0.7000000000000001
239;0.31000000000000005;4.0;0.1719340294297854;3.0;0.65
646;0.35000000000000003;4.0;0.17163543946771673;4.0;0.8000000000000002
507;0.35000000000000003;4.0;0.17163543946771673;4.0;0.7500000000000001
348;0.25000000000000006;3.0;0.17105794604946223;4.0;0.7000000000000001
216;0.25000000000000006;3.0;0.17105794604946223;4.0;0.65
233;0.29000000000000004;4.0;0.16933230232449406;3.0;0.65
365;0.29000000000000004;4.0;0.16933230232449406;3.0;0.7000000000000001
101;0.22000000000000003;3.0;0.16584570804027202;4.0;0.6
230;0.28;4.0;0.16574169474241926;3.0;0.65
362;0.28;4.0;0.16574169474241926;3.0;0.7000000000000001
509;0.35000000000000003;6.0;0.16551284006098285;3.0;0.7500000000000001
648;0.35000000000000003;6.0;0.16551284006098285;3.0;0.8000000000000002
349;0.25000000000000006;4.0;0.16499640023746634;4.0;0.7000000000000001
217;0.25000000000000006;4.0;0.16499640023746634;4.0;0.65
354;0.26000000000000006;4.0;0.1630127875937224;4.0;0.7000000000000001
222;0.26000000000000006;4.0;0.1630127875937224;4.0;0.65
902;0.5500000000000002;2.0;0.16283019900871132;4.0;0.9000000000000002
72;0.15000000000000002;5.0;0.1626098010031099;3.0;0.6
770;0.44000000000000006;2.0;0.15657127127774512;4.0;0.8500000000000002
642;0.34;4.0;0.15594471461391315;4.0;0.8000000000000002
503;0.34;4.0;0.15594471461391315;4.0;0.7500000000000001
647;0.35000000000000003;5.0;0.15280617115781908;5.0;0.8000000000000002
508;0.35000000000000003;5.0;0.15280617115781908;5.0;0.7500000000000001
226;0.27;4.0;0.15086801582083917;3.0;0.65
358;0.27;4.0;0.15086801582083917;3.0;0.7000000000000001
643;0.34;5.0;0.14987203265815402;5.0;0.8000000000000002
504;0.34;5.0;0.14987203265815402;5.0;0.7500000000000001
762;0.39000000000000007;5.0;0.14947671772345064;3.0;0.8500000000000002
350;0.25000000000000006;5.0;0.14889554190867837;3.0;0.7000000000000001
218;0.25000000000000006;5.0;0.14889554190867837;3.0;0.65
761;0.39000000000000007;4.0;0.14385768671559704;5.0;0.8500000000000002
632;0.32000000000000006;3.0;0.1428524429627752;5.0;0.8000000000000002
493;0.32000000000000006;3.0;0.1428524429627752;5.0;0.7500000000000001
499;0.33;4.0;0.14088612028739173;5.0;0.7500000000000001
638;0.33;4.0;0.14088612028739173;5.0;0.8000000000000002
342;0.24000000000000005;3.0;0.14026233991621492;5.0;0.7000000000000001
210;0.24000000000000005;3.0;0.14026233991621492;5.0;0.65
223;0.26000000000000006;6.0;0.1392647055087844;3.0;0.65
355;0.26000000000000006;6.0;0.1392647055087844;3.0;0.7000000000000001
888;0.44000000000000006;5.0;0.13902577763799656;3.0;0.9000000000000002
203;0.23000000000000004;3.0;0.13771822153895974;5.0;0.65
335;0.23000000000000004;3.0;0.13771822153895974;5.0;0.7000000000000001
882;0.43000000000000005;4.0;0.13526167751409338;4.0;0.9000000000000002
758;0.38000000000000006;4.0;0.1339426794061787;5.0;0.8500000000000002
500;0.33;5.0;0.1338122551346207;4.0;0.7500000000000001
639;0.33;5.0;0.1338122551346207;4.0;0.8000000000000002
769;0.43000000000000005;2.0;0.13030603586037384;5.0;0.8500000000000002
84;0.17000000000000004;7.0;0.13019243849954465;3.0;0.6
78;0.16000000000000003;7.0;0.12985443319950182;3.0;0.6
626;0.31000000000000005;3.0;0.1287610605454312;5.0;0.8000000000000002
487;0.31000000000000005;3.0;0.1287610605454312;5.0;0.7500000000000001
767;0.4100000000000001;4.0;0.12800827978556456;3.0;0.8500000000000002
875;0.42000000000000004;3.0;0.12778384035022833;4.0;0.9000000000000002
760;0.39000000000000007;3.0;0.1275594140323292;3.0;0.8500000000000002
754;0.37000000000000005;4.0;0.12617028907682987;5.0;0.8500000000000002
494;0.32000000000000006;4.0;0.12548346507276525;5.0;0.7500000000000001
633;0.32000000000000006;4.0;0.12548346507276525;5.0;0.8000000000000002
73;0.15000000000000002;6.0;0.12294235838966489;3.0;0.6
85;0.17000000000000004;9.0;0.12088239101839113;3.0;0.6
876;0.42000000000000004;4.0;0.1205367711294617;4.0;0.9000000000000002
114;0.28;2.0;0.11750380869717994;4.0;0.6
112;0.27;2.0;0.11750380869717994;4.0;0.6
110;0.26000000000000006;2.0;0.11750380869717994;4.0;0.6
764;0.4000000000000001;4.0;0.11700747891655136;3.0;0.8500000000000002
627;0.31000000000000005;4.0;0.11657148957438489;5.0;0.8000000000000002
488;0.31000000000000005;4.0;0.11657148957438489;5.0;0.7500000000000001
757;0.38000000000000006;3.0;0.1154894976030189;3.0;0.8500000000000002
739;0.34;3.0;0.11519613801106625;5.0;0.8500000000000002
881;0.43000000000000005;3.0;0.11462622184989414;4.0;0.9000000000000002
108;0.25000000000000006;2.0;0.11197102681861347;4.0;0.6
105;0.24000000000000005;2.0;0.11197102681861347;4.0;0.6
103;0.23000000000000004;2.0;0.11197102681861347;4.0;0.6
749;0.36000000000000004;4.0;0.11193572575585421;4.0;0.8500000000000002
887;0.44000000000000006;4.0;0.11106169568935007;3.0;0.9000000000000002
870;0.4100000000000001;3.0;0.1096393606445172;4.0;0.9000000000000002
618;0.30000000000000004;3.0;0.10766120127532235;6.0;0.8000000000000002
479;0.30000000000000004;3.0;0.10766120127532235;6.0;0.7500000000000001
119;0.32000000000000006;2.0;0.10686890246570932;3.0;0.6
117;0.30000000000000004;2.0;0.10686890246570932;3.0;0.6
118;0.31000000000000005;2.0;0.10686890246570932;3.0;0.6
116;0.29000000000000004;2.0;0.10686890246570932;3.0;0.6
753;0.37000000000000005;3.0;0.10448146663948751;3.0;0.8500000000000002
91;0.19;2.0;0.10375775063373734;7.0;0.6
471;0.29000000000000004;3.0;0.10298900516866558;6.0;0.7500000000000001
610;0.29000000000000004;3.0;0.10298900516866558;6.0;0.8000000000000002
869;0.4100000000000001;2.0;0.10249758117590164;6.0;0.9000000000000002
86;0.18000000000000005;2.0;0.10103421658765062;8.0;0.6
738;0.34;2.0;0.10026556715133099;9.0;0.8500000000000002
65;0.14;6.0;0.0991928130778718;3.0;0.6
895;0.4800000000000001;2.0;0.09776529250572755;4.0;0.9000000000000002
896;0.49000000000000005;2.0;0.09633276445896694;4.0;0.9000000000000002
98;0.21000000000000002;2.0;0.09619863078766876;6.0;0.6
95;0.2;2.0;0.09619863078766876;6.0;0.6
871;0.4100000000000001;4.0;0.09579638739788779;4.0;0.9000000000000002
100;0.22000000000000003;2.0;0.09329352656490258;5.0;0.6
897;0.5000000000000001;2.0;0.09294515527040134;3.0;0.9000000000000002
79;0.16000000000000003;8.0;0.09167175547754665;3.0;0.6
748;0.36000000000000004;3.0;0.08687498908101235;4.0;0.8500000000000002
755;0.37000000000000005;6.0;0.0857451892568832;3.0;0.8500000000000002
886;0.44000000000000006;3.0;0.08481771964914657;3.0;0.9000000000000002
772;0.4600000000000001;2.0;0.08278830502585667;4.0;0.8500000000000002
741;0.34;5.0;0.08160106826453524;3.0;0.8500000000000002
212;0.24000000000000005;7.0;0.08147121090129861;3.0;0.65
344;0.24000000000000005;7.0;0.08147121090129861;3.0;0.7000000000000001
773;0.4700000000000001;2.0;0.08026282264650222;4.0;0.8500000000000002
776;0.5000000000000001;2.0;0.07966568414598298;4.0;0.8500000000000002
