Player,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height
Aaron Gordon,356,30.11,15.61,0.53,0.31,12.39,20.71,1.94,2.31,203.2
Aaron Holiday,116,19.51,11.73,0.52,0.43,5.52,20.08,0.27,1.31,182.88
Al Horford,357,31.09,18.17,0.57,0.3,12.35,19.08,4.0,3.35,205.74
Al-Farouq Aminu,311,28.48,12.11,0.53,0.49,13.27,15.09,1.39,2.47,203.2
Alec Burks,267,21.12,13.71,0.53,0.34,9.35,22.18,0.55,0.87,198.12
Alex Caruso,126,18.0,10.8,0.53,0.38,6.01,14.57,0.32,1.21,195.58
Alex Len,356,20.48,16.17,0.56,0.1,17.51,19.14,1.39,1.31,213.36
Alfonzo McKinnie,126,13.09,10.28,0.55,0.43,11.67,14.55,0.62,0.62,200.66
Allen Crabbe,315,26.48,10.7,0.56,0.55,6.38,16.2,1.96,1.04,195.58
Allonzo Trier,88,19.89,12.83,0.58,0.32,6.61,21.47,0.43,0.39,193.04
Andre Drummond,376,32.52,22.07,0.53,0.02,25.41,23.16,2.64,5.19,208.28
Andre Iguodala,294,24.99,12.61,0.57,0.43,8.52,11.39,2.47,2.02,198.12
Andre Roberson,195,25.91,9.92,0.53,0.36,9.56,9.66,1.25,2.09,200.66
Andrew Wiggins,372,35.68,14.91,0.52,0.24,6.78,26.24,1.53,1.06,200.66
Anfernee Simons,90,17.67,9.47,0.51,0.43,5.37,19.94,0.0,0.08,190.5
Ante Zizic,113,13.42,18.5,0.64,0.0,16.24,18.23,1.2,0.25,208.28
Anthony Davis,329,35.2,27.81,0.59,0.12,16.66,30.3,6.52,4.16,208.28
Anthony Tolliver,336,19.42,10.32,0.58,0.78,8.79,13.01,1.64,0.91,203.2
Aron Baynes,330,17.08,14.39,0.55,0.11,15.85,16.9,1.4,1.64,208.28
Austin Rivers,346,26.58,10.54,0.53,0.47,4.67,18.0,0.93,1.04,190.5
Avery Bradley,289,30.78,10.89,0.52,0.39,5.82,19.28,0.42,1.63,190.5
Bam Adebayo,223,25.55,17.99,0.6,0.02,16.42,17.57,3.45,3.1,205.74
Ben McLemore,275,19.95,10.05,0.56,0.54,5.99,18.15,0.41,0.72,190.5
Ben Simmons,217,34.33,20.11,0.58,0.01,13.04,21.86,4.24,3.99,208.28
Bismack Biyombo,352,19.62,14.2,0.57,0.0,17.87,13.67,1.5,1.88,203.2
Blake Griffin,247,33.81,20.55,0.56,0.26,12.31,29.17,3.54,1.94,205.74
Boban Marjanovic,230,9.74,26.5,0.64,0.02,22.71,25.25,1.3,0.64,223.52
Bobby Portis,315,20.43,15.93,0.53,0.25,15.55,22.39,0.97,1.15,208.28
Bogdan Bogdanovic,209,28.17,14.17,0.55,0.47,6.23,21.38,1.63,1.26,198.12
Bojan Bogdanovic,384,29.47,13.91,0.59,0.44,6.84,21.58,2.43,1.29,203.2
Brad Wanamaker,107,16.0,13.3,0.58,0.31,5.87,16.04,1.4,1.33,190.5
Bradley Beal,353,35.27,19.65,0.58,0.37,6.41,28.29,4.84,1.62,190.5
Brandon Clarke,58,22.41,20.9,0.66,0.13,14.0,18.7,3.4,1.6,203.2
Brandon Ingram,252,32.21,13.29,0.53,0.23,8.34,22.17,0.86,1.37,200.66
Brandon Knight,170,24.75,11.3,0.5,0.44,5.31,23.2,0.25,0.34,187.96
Brook Lopez,371,28.44,17.6,0.57,0.38,9.77,22.96,2.65,2.77,213.36
Bruce Brown,132,23.36,9.1,0.49,0.26,8.1,13.48,0.25,1.51,193.04
Bruno Caboclo,91,13.56,11.3,0.47,0.49,11.55,17.14,0.17,0.44,205.74
Bruno Fernando,56,12.73,11.9,0.54,0.19,15.0,15.3,0.4,0.4,205.74
Bryn Forbes,261,21.74,10.05,0.55,0.54,4.69,17.52,1.32,0.91,187.96
Buddy Hield,316,27.67,15.23,0.56,0.5,8.17,24.35,1.72,1.33,193.04
CJ McCollum,381,35.25,17.76,0.55,0.34,5.8,26.54,4.39,1.69,190.5
CJ Miles,273,20.49,12.55,0.55,0.66,6.52,20.49,1.35,1.34,198.12
Caleb Swanigan,75,8.73,6.09,0.48,0.1,17.42,17.57,-0.24,0.21,205.74
Cam Reddish,58,26.74,9.0,0.5,0.45,7.5,18.9,-1.2,0.8,203.2
Cameron Johnson,57,22.02,12.9,0.59,0.67,8.3,15.7,1.7,1.0,203.2
Cameron Payne,161,16.38,11.39,0.49,0.41,6.29,19.56,0.19,0.46,185.42
Caris LeVert,213,25.79,14.26,0.53,0.36,7.58,22.68,0.56,1.32,198.12
Carmelo Anthony,292,33.44,15.77,0.52,0.32,10.34,25.81,2.18,1.85,203.2
Cedi Osman,202,24.88,11.09,0.55,0.48,8.22,17.08,0.92,0.39,200.66
Chandler Hutchison,72,19.75,10.2,0.51,0.23,11.24,14.88,0.0,0.64,200.66
